Source ,Source Airport,Destination,Destination Airport,Weight
67,Minneapolis-St Paul Intl/Wold-,174,Baltimore-Washington Intl,0.1004
174,Baltimore-Washington Intl,219,Mc Carran Intl,0.1982
174,Baltimore-Washington Intl,299,Orlando Intl,0.1053
152,Pittsburgh Intll,174,Baltimore-Washington Intl,0.0221
174,Baltimore-Washington Intl,293,Houston Intercontinental,0.1294
162,Philadelphia Intl,174,Baltimore-Washington Intl,0.0099
174,Baltimore-Washington Intl,230,Charlotte/Douglas Intl,0.0436
174,Baltimore-Washington Intl,301,Tampa Intl,0.1111
174,Baltimore-Washington Intl,221,Raleigh-Durham Intll,0.0333
174,Baltimore-Washington Intl,176,Cincinnati/Northern Kentucky I,0.0407
174,Baltimore-Washington Intl,310,Fort Lauderdale/Hollywood Intl,0.1264
131,Cleveland-Hopkins Intl,174,Baltimore-Washington Intl,0.034
174,Baltimore-Washington Intl,321,Luis Munoz Marin Intl,0.2054
172,Kansas City Intl,174,Baltimore-Washington Intl,0.0919
174,Baltimore-Washington Intl,292,New Orleans Intl/Moisant Fld/,0.1117
167,Indianapolis Intl,174,Baltimore-Washington Intl,0.0493
174,Baltimore-Washington Intl,306,Palm Beach Intl,0.1206
161,James M Cox Dayton Intl,174,Baltimore-Washington Intl,0.039
159,Port Columbus Intl,174,Baltimore-Washington Intl,0.0327
174,Baltimore-Washington Intl,307,Southwest Florida Intl,0.1234
174,Baltimore-Washington Intl,284,Jacksonville Intl,0.0867
174,Baltimore-Washington Intl,212,Norfolk Intl,0.0219
92,Syracuse Hancock Intl,174,Baltimore-Washington Intl,0.0377
91,Greater Rochester Intl,174,Baltimore-Washington Intl,0.038
125,Theodore Francis Green State,174,Baltimore-Washington Intl,0.0362
174,Baltimore-Washington Intl,305,Sarasota/Bradenton Intl,0.1164
174,Baltimore-Washington Intl,202,Richmond Intll,0.0162
174,Baltimore-Washington Intl,218,Piedmont Triad Intll,0.0338
143,Long Island Mac Arthur,174,Baltimore-Washington Intl,0.0239
174,Baltimore-Washington Intl,273,Savannah Intll,0.0712
174,Baltimore-Washington Intl,204,Roanoke Regional/Woodrum Field,0.0243
89,Oneida County,174,Baltimore-Washington Intl,0.0386
118,Chicago O'hare Intl,177,Washington Dulles Intl,0.0606
177,Washington Dulles Intl,248,Los Angeles Intl,0.2139
177,Washington Dulles Intl,201,San Francisco Intl,0.229
150,John F Kennedy Intl,177,Washington Dulles Intl,0.0247
177,Washington Dulles Intl,311,Miami Intl,0.1264
146,La Guardia,177,Washington Dulles Intl,0.0253
177,Washington Dulles Intl,258,Phoenix Sky Harbor Intl,0.1837
177,Washington Dulles Intl,182,Lambert-St Louis Intl,0.0657
67,Minneapolis-St Paul Intl/Wold-,177,Washington Dulles Intl,0.0983
177,Washington Dulles Intl,299,Orlando Intl,0.1023
152,Pittsburgh Intll,177,Washington Dulles Intl,0.0204
177,Washington Dulles Intl,293,Houston Intercontinental,0.125
162,Philadelphia Intl,177,Washington Dulles Intl,0.0144
47,Seattle-Tacoma Intl,177,Washington Dulles Intl,0.2424
177,Washington Dulles Intl,179,Washington National,0.0022
144,Salt Lake City Intl,177,Washington Dulles Intl,0.1767
177,Washington Dulles Intl,263,San Diego Intl-Lindbergh Fld,0.2108
177,Washington Dulles Intl,301,Tampa Intl,0.1079
174,Baltimore-Washington Intl,177,Washington Dulles Intl,0.0046
177,Washington Dulles Intl,321,Luis Munoz Marin Intl,0.2044
177,Washington Dulles Intl,292,New Orleans Intl/Moisant Fld/,0.1075
177,Washington Dulles Intl,212,Norfolk Intl,0.0206
91,Greater Rochester Intl,177,Washington Dulles Intl,0.0399
125,Theodore Francis Green State,177,Washington Dulles Intl,0.0406
177,Washington Dulles Intl,202,Richmond Intll,0.0137
157,Harrisburg Intll,177,Washington Dulles Intl,0.0125
80,Portland Intl Jetport,177,Washington Dulles Intl,0.0579
177,Washington Dulles Intl,273,Savannah Intll,0.0678
96,Manchester,177,Washington Dulles Intl,0.0489
177,Washington Dulles Intl,204,Roanoke Regional/Woodrum Field,0.02
141,University Park,177,Washington Dulles Intl,0.0183
182,Lambert-St Louis Intl,221,Raleigh-Durham Intll,0.065
221,Raleigh-Durham Intll,301,Tampa Intl,0.0779
221,Raleigh-Durham Intll,321,Luis Munoz Marin Intl,0.1789
221,Raleigh-Durham Intll,307,Southwest Florida Intl,0.0905
92,Syracuse Hancock Intl,221,Raleigh-Durham Intll,0.0704
91,Greater Rochester Intl,221,Raleigh-Durham Intll,0.0694
221,Raleigh-Durham Intll,305,Sarasota/Bradenton Intl,0.0832
202,Richmond Intll,221,Raleigh-Durham Intll,0.0173
221,Raleigh-Durham Intll,322,Cyril E King,0.1818
221,Raleigh-Durham Intll,273,Savannah Intll,0.0379
129,Stewart Int'l,221,Raleigh-Durham Intll,0.0589
118,Chicago O'hare Intl,176,Cincinnati/Northern Kentucky I,0.0325
176,Cincinnati/Northern Kentucky I,261,Dallas/Fort Worth Intl,0.0862
176,Cincinnati/Northern Kentucky I,248,Los Angeles Intl,0.1786
176,Cincinnati/Northern Kentucky I,201,San Francisco Intl,0.1925
150,John F Kennedy Intl,176,Cincinnati/Northern Kentucky I,0.0574
166,Stapleton Intl,176,Cincinnati/Northern Kentucky I,0.1032
176,Cincinnati/Northern Kentucky I,311,Miami Intl,0.1285
146,La Guardia,176,Cincinnati/Northern Kentucky I,0.0574
147,Newark Intl,176,Cincinnati/Northern Kentucky I,0.0558
176,Cincinnati/Northern Kentucky I,258,Phoenix Sky Harbor Intl,0.1493
112,Detroit Metropolitan Wayne Cou,176,Cincinnati/Northern Kentucky I,0.031
176,Cincinnati/Northern Kentucky I,182,Lambert-St Louis Intl,0.0291
67,Minneapolis-St Paul Intl/Wold-,176,Cincinnati/Northern Kentucky I,0.0708
176,Cincinnati/Northern Kentucky I,219,Mc Carran Intl,0.1579
176,Cincinnati/Northern Kentucky I,299,Orlando Intl,0.1028
152,Pittsburgh Intll,176,Cincinnati/Northern Kentucky I,0.0265
162,Philadelphia Intl,176,Cincinnati/Northern Kentucky I,0.0486
47,Seattle-Tacoma Intl,176,Cincinnati/Northern Kentucky I,0.2078
176,Cincinnati/Northern Kentucky I,179,Washington National,0.0388
144,Salt Lake City Intl,176,Cincinnati/Northern Kentucky I,0.1401
176,Cincinnati/Northern Kentucky I,263,San Diego Intl-Lindbergh Fld,0.1762
176,Cincinnati/Northern Kentucky I,301,Tampa Intl,0.1064
176,Cincinnati/Northern Kentucky I,221,Raleigh-Durham Intll,0.0426
176,Cincinnati/Northern Kentucky I,310,Fort Lauderdale/Hollywood Intl,0.1261
176,Cincinnati/Northern Kentucky I,232,Memphis Intl,0.0468
176,Cincinnati/Northern Kentucky I,296,William P Hobby,0.1048
172,Kansas City Intl,176,Cincinnati/Northern Kentucky I,0.0513
176,Cincinnati/Northern Kentucky I,292,New Orleans Intl/Moisant Fld/,0.0911
65,Portland Intl,176,Cincinnati/Northern Kentucky I,0.2031
167,Indianapolis Intl,176,Cincinnati/Northern Kentucky I,0.0105
176,Cincinnati/Northern Kentucky I,306,Palm Beach Intl,0.1204
94,General Mitchell Intll,176,Cincinnati/Northern Kentucky I,0.0408
176,Cincinnati/Northern Kentucky I,307,Southwest Florida Intl,0.1204
176,Cincinnati/Northern Kentucky I,284,Jacksonville Intl,0.0831
176,Cincinnati/Northern Kentucky I,212,Norfolk Intl,0.0478
92,Syracuse Hancock Intl,176,Cincinnati/Northern Kentucky I,0.0584
91,Greater Rochester Intl,176,Cincinnati/Northern Kentucky I,0.0527
176,Cincinnati/Northern Kentucky I,189,Louisville Intl,0.01
176,Cincinnati/Northern Kentucky I,305,Sarasota/Bradenton Intl,0.1118
176,Cincinnati/Northern Kentucky I,239,Adams Field,0.0564
176,Cincinnati/Northern Kentucky I,202,Richmond Intll,0.0402
176,Cincinnati/Northern Kentucky I,218,Piedmont Triad Intll,0.0371
99,Kent County Intl,176,Cincinnati/Northern Kentucky I,0.037
176,Cincinnati/Northern Kentucky I,222,Mc Ghee Tyson,0.0311
80,Portland Intl Jetport,176,Cincinnati/Northern Kentucky I,0.0853
176,Cincinnati/Northern Kentucky I,271,Jackson Intll,0.0701
176,Cincinnati/Northern Kentucky I,192,Blue Grass,0.0096
126,Michiana Rgnl Transportation C,176,Cincinnati/Northern Kentucky I,0.0268
137,Fort Wayne Intll,176,Cincinnati/Northern Kentucky I,0.0187
118,Chicago O'hare Intl,310,Fort Lauderdale/Hollywood Intl,0.157
150,John F Kennedy Intl,310,Fort Lauderdale/Hollywood Intl,0.1429
310,Fort Lauderdale/Hollywood Intl,311,Miami Intl,0.0027
146,La Guardia,310,Fort Lauderdale/Hollywood Intl,0.1441
182,Lambert-St Louis Intl,310,Fort Lauderdale/Hollywood Intl,0.1319
67,Minneapolis-St Paul Intl/Wold-,310,Fort Lauderdale/Hollywood Intl,0.1917
299,Orlando Intl,310,Fort Lauderdale/Hollywood Intl,0.0234
152,Pittsburgh Intll,310,Fort Lauderdale/Hollywood Intl,0.1378
293,Houston Intercontinental,310,Fort Lauderdale/Hollywood Intl,0.086
162,Philadelphia Intl,310,Fort Lauderdale/Hollywood Intl,0.1342
301,Tampa Intl,310,Fort Lauderdale/Hollywood Intl,0.0219
177,Washington Dulles Intl,310,Fort Lauderdale/Hollywood Intl,0.1238
221,Raleigh-Durham Intll,310,Fort Lauderdale/Hollywood Intl,0.094
232,Memphis Intl,310,Fort Lauderdale/Hollywood Intl,0.0994
123,Chicago Midway,310,Fort Lauderdale/Hollywood Intl,0.1551
292,New Orleans Intl/Moisant Fld/,310,Fort Lauderdale/Hollywood Intl,0.0637
167,Indianapolis Intl,310,Fort Lauderdale/Hollywood Intl,0.1341
306,Palm Beach Intl,310,Fort Lauderdale/Hollywood Intl,0.0059
94,General Mitchell Intll,310,Fort Lauderdale/Hollywood Intl,0.1661
307,Southwest Florida Intl,310,Fort Lauderdale/Hollywood Intl,0.0094
143,Long Island Mac Arthur,310,Fort Lauderdale/Hollywood Intl,0.1452
302,St Petersburg/Clearwater Intl,310,Fort Lauderdale/Hollywood Intl,0.0218
118,Chicago O'hare Intl,232,Memphis Intl,0.067
201,San Francisco Intl,232,Memphis Intl,0.1667
232,Memphis Intl,311,Miami Intl,0.1013
232,Memphis Intl,258,Phoenix Sky Harbor Intl,0.1133
182,Lambert-St Louis Intl,232,Memphis Intl,0.0355
67,Minneapolis-St Paul Intl/Wold-,232,Memphis Intl,0.0954
152,Pittsburgh Intll,232,Memphis Intl,0.0719
162,Philadelphia Intl,232,Memphis Intl,0.0881
47,Seattle-Tacoma Intl,232,Memphis Intl,0.2028
232,Memphis Intl,301,Tampa Intl,0.0775
232,Memphis Intl,292,New Orleans Intl/Moisant Fld/,0.0483
232,Memphis Intl,297,San Antonio Intl,0.0681
94,General Mitchell Intll,232,Memphis Intl,0.0762
232,Memphis Intl,307,Southwest Florida Intl,0.0915
225,Will Rogers World,232,Memphis Intl,0.0389
216,Tulsa Intl,232,Memphis Intl,0.032
189,Louisville Intl,232,Memphis Intl,0.0369
133,Eppley Airfield,232,Memphis Intl,0.0669
222,Mc Ghee Tyson,232,Memphis Intl,0.0314
232,Memphis Intl,285,Eglin Afb,0.047
118,Chicago O'hare Intl,131,Cleveland-Hopkins Intl,0.0313
131,Cleveland-Hopkins Intl,261,Dallas/Fort Worth Intl,0.1123
131,Cleveland-Hopkins Intl,248,Los Angeles Intl,0.1993
131,Cleveland-Hopkins Intl,201,San Francisco Intl,0.2095
131,Cleveland-Hopkins Intl,150,John F Kennedy Intl,0.0418
131,Cleveland-Hopkins Intl,166,Stapleton Intl,0.1183
131,Cleveland-Hopkins Intl,311,Miami Intl,0.1494
131,Cleveland-Hopkins Intl,146,La Guardia,0.0412
131,Cleveland-Hopkins Intl,147,Newark Intl,0.0398
131,Cleveland-Hopkins Intl,258,Phoenix Sky Harbor Intl,0.1715
112,Detroit Metropolitan Wayne Cou,131,Cleveland-Hopkins Intl,0.0108
131,Cleveland-Hopkins Intl,182,Lambert-St Louis Intl,0.0502
67,Minneapolis-St Paul Intl/Wold-,131,Cleveland-Hopkins Intl,0.0667
131,Cleveland-Hopkins Intl,219,Mc Carran Intl,0.1771
131,Cleveland-Hopkins Intl,299,Orlando Intl,0.124
131,Cleveland-Hopkins Intl,152,Pittsburgh Intll,0.0121
131,Cleveland-Hopkins Intl,293,Houston Intercontinental,0.129
131,Cleveland-Hopkins Intl,162,Philadelphia Intl,0.0368
47,Seattle-Tacoma Intl,131,Cleveland-Hopkins Intl,0.2139
131,Cleveland-Hopkins Intl,230,Charlotte/Douglas Intl,0.0594
131,Cleveland-Hopkins Intl,179,Washington National,0.0346
131,Cleveland-Hopkins Intl,301,Tampa Intl,0.1284
131,Cleveland-Hopkins Intl,177,Washington Dulles Intl,0.0325
131,Cleveland-Hopkins Intl,221,Raleigh-Durham Intll,0.0552
131,Cleveland-Hopkins Intl,176,Cincinnati/Northern Kentucky I,0.0267
131,Cleveland-Hopkins Intl,310,Fort Lauderdale/Hollywood Intl,0.1469
123,Chicago Midway,131,Cleveland-Hopkins Intl,0.0302
131,Cleveland-Hopkins Intl,172,Kansas City Intl,0.0685
131,Cleveland-Hopkins Intl,292,New Orleans Intl/Moisant Fld/,0.1172
131,Cleveland-Hopkins Intl,167,Indianapolis Intl,0.0278
131,Cleveland-Hopkins Intl,306,Palm Beach Intl,0.141
94,General Mitchell Intll,131,Cleveland-Hopkins Intl,0.0341
131,Cleveland-Hopkins Intl,307,Southwest Florida Intl,0.1421
125,Theodore Francis Green State,131,Cleveland-Hopkins Intl,0.0532
131,Cleveland-Hopkins Intl,189,Louisville Intl,0.0367
131,Cleveland-Hopkins Intl,305,Sarasota/Bradenton Intl,0.1339
131,Cleveland-Hopkins Intl,153,Yampa Valley,0.1295
182,Lambert-St Louis Intl,321,Luis Munoz Marin Intl,0.2303
301,Tampa Intl,321,Luis Munoz Marin Intl,0.124
321,Luis Munoz Marin Intl,322,Cyril E King,0.0054
321,Luis Munoz Marin Intl,325,Alexander Hamilton,0.0094
118,Chicago O'hare Intl,296,William P Hobby,0.1237
150,John F Kennedy Intl,296,William P Hobby,0.1517
296,William P Hobby,311,Miami Intl,0.0848
258,Phoenix Sky Harbor Intl,296,William P Hobby,0.0926
182,Lambert-St Louis Intl,296,William P Hobby,0.0905
67,Minneapolis-St Paul Intl/Wold-,296,William P Hobby,0.146
232,Memphis Intl,296,William P Hobby,0.0582
123,Chicago Midway,296,William P Hobby,0.1222
292,New Orleans Intl/Moisant Fld/,296,William P Hobby,0.0258
296,William P Hobby,297,San Antonio Intl,0.0162
225,Will Rogers World,296,William P Hobby,0.0562
216,Tulsa Intl,296,William P Hobby,0.0627
275,Midland Intll,296,William P Hobby,0.0415
296,William P Hobby,308,Rio Grande Valley Intl,0.0349
123,Chicago Midway,182,Lambert-St Louis Intl,0.0319
67,Minneapolis-St Paul Intl/Wold-,123,Chicago Midway,0.0406
123,Chicago Midway,152,Pittsburgh Intll,0.0403
47,Seattle-Tacoma Intl,123,Chicago Midway,0.1841
123,Chicago Midway,301,Tampa Intl,0.1347
123,Chicago Midway,307,Southwest Florida Intl,0.1489
123,Chicago Midway,273,Savannah Intll,0.0981
123,Chicago Midway,163,Capital,0.021
123,Chicago Midway,302,St Petersburg/Clearwater Intl,0.1351
118,Chicago O'hare Intl,217,Nashville Intll,0.0562
217,Nashville Intll,261,Dallas/Fort Worth Intl,0.0611
217,Nashville Intll,248,Los Angeles Intl,0.1628
201,San Francisco Intl,217,Nashville Intll,0.1823
166,Stapleton Intl,217,Nashville Intll,0.0991
217,Nashville Intll,311,Miami Intl,0.1039
146,La Guardia,217,Nashville Intll,0.079
109,General Edward Lawrence Logan,217,Nashville Intll,0.0997
147,Newark Intl,217,Nashville Intll,0.0773
217,Nashville Intll,258,Phoenix Sky Harbor Intl,0.1315
112,Detroit Metropolitan Wayne Cou,217,Nashville Intll,0.0606
182,Lambert-St Louis Intl,217,Nashville Intll,0.0313
67,Minneapolis-St Paul Intl/Wold-,217,Nashville Intll,0.09
217,Nashville Intll,219,Mc Carran Intl,0.145
217,Nashville Intll,299,Orlando Intl,0.0784
152,Pittsburgh Intll,217,Nashville Intll,0.0531
217,Nashville Intll,293,Houston Intercontinental,0.0734
162,Philadelphia Intl,217,Nashville Intll,0.0684
217,Nashville Intll,230,Charlotte/Douglas Intl,0.0305
179,Washington National,217,Nashville Intll,0.0556
217,Nashville Intll,263,San Diego Intl-Lindbergh Fld,0.1586
217,Nashville Intll,301,Tampa Intl,0.0807
174,Baltimore-Washington Intl,217,Nashville Intll,0.0587
217,Nashville Intll,221,Raleigh-Durham Intll,0.0403
176,Cincinnati/Northern Kentucky I,217,Nashville Intll,0.0297
217,Nashville Intll,310,Fort Lauderdale/Hollywood Intl,0.1017
217,Nashville Intll,232,Memphis Intl,0.0197
131,Cleveland-Hopkins Intl,217,Nashville Intll,0.0562
217,Nashville Intll,321,Luis Munoz Marin Intl,0.1991
217,Nashville Intll,296,William P Hobby,0.0758
123,Chicago Midway,217,Nashville Intll,0.0544
172,Kansas City Intl,217,Nashville Intll,0.0509
217,Nashville Intll,292,New Orleans Intl/Moisant Fld/,0.0614
167,Indianapolis Intl,217,Nashville Intll,0.0344
217,Nashville Intll,306,Palm Beach Intl,0.0963
217,Nashville Intll,297,San Antonio Intl,0.087
94,General Mitchell Intll,217,Nashville Intll,0.0655
159,Port Columbus Intl,217,Nashville Intll,0.0417
217,Nashville Intll,307,Southwest Florida Intl,0.095
217,Nashville Intll,284,Jacksonville Intl,0.0595
212,Norfolk Intl,217,Nashville Intll,0.0539
189,Louisville Intl,217,Nashville Intll,0.0202
217,Nashville Intll,239,Adams Field,0.0312
202,Richmond Intll,217,Nashville Intll,0.0495
217,Nashville Intll,218,Piedmont Triad Intll,0.0344
217,Nashville Intll,222,Mc Ghee Tyson,0.014
217,Nashville Intll,240,Huntsville Intl-Carl T Jones F,0.0142
217,Nashville Intll,283,"Baton Rouge Metropolitan, Ryan",0.058
217,Nashville Intll,286,Pensacola Regional,0.0541
217,Nashville Intll,271,Jackson Intll,0.0404
192,Blue Grass,217,Nashville Intll,0.0211
126,Michiana Rgnl Transportation C,217,Nashville Intll,0.0533
217,Nashville Intll,281,Mobile Regional,0.0525
118,Chicago O'hare Intl,172,Kansas City Intl,0.0431
172,Kansas City Intl,201,San Francisco Intl,0.1417
172,Kansas City Intl,258,Phoenix Sky Harbor Intl,0.1044
172,Kansas City Intl,182,Lambert-St Louis Intl,0.0228
67,Minneapolis-St Paul Intl/Wold-,172,Kansas City Intl,0.054
172,Kansas City Intl,299,Orlando Intl,0.1243
152,Pittsburgh Intll,172,Kansas City Intl,0.0747
162,Philadelphia Intl,172,Kansas City Intl,0.0994
47,Seattle-Tacoma Intl,172,Kansas City Intl,0.1606
144,Salt Lake City Intl,172,Kansas City Intl,0.089
172,Kansas City Intl,263,San Diego Intl-Lindbergh Fld,0.1305
172,Kansas City Intl,232,Memphis Intl,0.0472
123,Chicago Midway,172,Kansas City Intl,0.0427
94,General Mitchell Intll,172,Kansas City Intl,0.0492
172,Kansas City Intl,225,Will Rogers World,0.0401
172,Kansas City Intl,216,Tulsa Intl,0.0302
133,Eppley Airfield,172,Kansas City Intl,0.0201
142,Elko Muni-J.C. Harris Field,172,Kansas City Intl,0.1083
118,Chicago O'hare Intl,292,New Orleans Intl/Moisant Fld/,0.1151
201,San Francisco Intl,292,New Orleans Intl/Moisant Fld/,0.179
182,Lambert-St Louis Intl,292,New Orleans Intl/Moisant Fld/,0.0837
152,Pittsburgh Intll,292,New Orleans Intl/Moisant Fld/,0.1126
162,Philadelphia Intl,292,New Orleans Intl/Moisant Fld/,0.1215
144,Salt Lake City Intl,292,New Orleans Intl/Moisant Fld/,0.1512
292,New Orleans Intl/Moisant Fld/,301,Tampa Intl,0.0439
292,New Orleans Intl/Moisant Fld/,297,San Antonio Intl,0.042
182,Lambert-St Louis Intl,203,San Jose Intll,0.1613
144,Salt Lake City Intl,203,San Jose Intll,0.0603
203,San Jose Intll,253,John Wayne Airport-Orange Coun,0.0408
183,Sacramento Metropolitan,203,San Jose Intll,0.0129
203,San Jose Intll,251,Long Beach /Daugherty Field/,0.039
65,Portland Intl,201,San Francisco Intl,0.0761
65,Portland Intl,258,Phoenix Sky Harbor Intl,0.128
47,Seattle-Tacoma Intl,65,Portland Intl,0.0178
65,Portland Intl,144,Salt Lake City Intl,0.0709
65,Portland Intl,263,San Diego Intl-Lindbergh Fld,0.1259
65,Portland Intl,203,San Jose Intll,0.0787
65,Portland Intl,253,John Wayne Airport-Orange Coun,0.1163
65,Portland Intl,183,Sacramento Metropolitan,0.066
65,Portland Intl,169,Reno/Tahoe Intll,0.06
59,Tri-Cities,65,Portland Intl,0.0189
56,Yakima Air Terminal,65,Portland Intl,0.0141
65,Portland Intl,74,Roberts Field,0.0147
54,Pullman/Moscow Regional,65,Portland Intl,0.0301
65,Portland Intl,66,Mcnary Fld,0.0068
262,Dallas Love Field,293,Houston Intercontinental,0.0285
262,Dallas Love Field,296,William P Hobby,0.0316
262,Dallas Love Field,292,New Orleans Intl/Moisant Fld/,0.0433
262,Dallas Love Field,297,San Antonio Intl,0.0327
262,Dallas Love Field,276,El Paso Intl,0.0495
225,Will Rogers World,262,Dallas Love Field,0.0246
216,Tulsa Intl,262,Dallas Love Field,0.0324
239,Adams Field,262,Dallas Love Field,0.0297
254,Lubbock Intl,262,Dallas Love Field,0.0265
262,Dallas Love Field,275,Midland Intll,0.0286
118,Chicago O'hare Intl,167,Indianapolis Intl,0.0231
167,Indianapolis Intl,248,Los Angeles Intl,0.1726
167,Indianapolis Intl,201,San Francisco Intl,0.1848
150,John F Kennedy Intl,167,Indianapolis Intl,0.0643
167,Indianapolis Intl,311,Miami Intl,0.1365
146,La Guardia,167,Indianapolis Intl,0.0641
167,Indianapolis Intl,258,Phoenix Sky Harbor Intl,0.1441
167,Indianapolis Intl,182,Lambert-St Louis Intl,0.0227
67,Minneapolis-St Paul Intl/Wold-,167,Indianapolis Intl,0.0607
167,Indianapolis Intl,219,Mc Carran Intl,0.151
167,Indianapolis Intl,299,Orlando Intl,0.1108
152,Pittsburgh Intll,167,Indianapolis Intl,0.0318
162,Philadelphia Intl,167,Indianapolis Intl,0.0563
167,Indianapolis Intl,301,Tampa Intl,0.1138
167,Indianapolis Intl,232,Memphis Intl,0.0484
123,Chicago Midway,167,Indianapolis Intl,0.0211
167,Indianapolis Intl,172,Kansas City Intl,0.0431
167,Indianapolis Intl,292,New Orleans Intl/Moisant Fld/,0.0951
167,Indianapolis Intl,307,Southwest Florida Intl,0.128
167,Indianapolis Intl,189,Louisville Intl,0.015
167,Indianapolis Intl,302,St Petersburg/Clearwater Intl,0.1143
182,Lambert-St Louis Intl,306,Palm Beach Intl,0.1266
152,Pittsburgh Intll,306,Palm Beach Intl,0.1319
162,Philadelphia Intl,306,Palm Beach Intl,0.1284
301,Tampa Intl,306,Palm Beach Intl,0.0175
221,Raleigh-Durham Intll,306,Palm Beach Intl,0.088
306,Palm Beach Intl,307,Southwest Florida Intl,0.0086
118,Chicago O'hare Intl,197,Metropolitan Oakland Intl,0.1795
197,Metropolitan Oakland Intl,258,Phoenix Sky Harbor Intl,0.0662
47,Seattle-Tacoma Intl,197,Metropolitan Oakland Intl,0.0929
144,Salt Lake City Intl,197,Metropolitan Oakland Intl,0.0599
197,Metropolitan Oakland Intl,263,San Diego Intl-Lindbergh Fld,0.0541
65,Portland Intl,197,Metropolitan Oakland Intl,0.0752
197,Metropolitan Oakland Intl,246,Ontario Intl,0.0422
197,Metropolitan Oakland Intl,253,John Wayne Airport-Orange Coun,0.0445
183,Sacramento Metropolitan,197,Metropolitan Oakland Intl,0.0099
169,Reno/Tahoe Intll,197,Metropolitan Oakland Intl,0.0211
197,Metropolitan Oakland Intl,250,Palm Springs Regional,0.0472
182,Lambert-St Louis Intl,297,San Antonio Intl,0.0973
144,Salt Lake City Intl,297,San Antonio Intl,0.1276
118,Chicago O'hare Intl,246,Ontario Intl,0.1691
201,San Francisco Intl,246,Ontario Intl,0.0419
246,Ontario Intl,258,Phoenix Sky Harbor Intl,0.029
182,Lambert-St Louis Intl,246,Ontario Intl,0.1458
47,Seattle-Tacoma Intl,246,Ontario Intl,0.1301
144,Salt Lake City Intl,246,Ontario Intl,0.0704
246,Ontario Intl,263,San Diego Intl-Lindbergh Fld,0.0128
203,San Jose Intll,246,Ontario Intl,0.0386
65,Portland Intl,246,Ontario Intl,0.1131
246,Ontario Intl,253,John Wayne Airport-Orange Coun,0.0039
183,Sacramento Metropolitan,246,Ontario Intl,0.0489
169,Reno/Tahoe Intll,246,Ontario Intl,0.0532
246,Ontario Intl,250,Palm Springs Regional,0.0059
118,Chicago O'hare Intl,233,Albuquerque Intl,0.1161
233,Albuquerque Intl,261,Dallas/Fort Worth Intl,0.0529
233,Albuquerque Intl,255,The William B Hartsfield Atlan,0.1138
233,Albuquerque Intl,248,Los Angeles Intl,0.0609
201,San Francisco Intl,233,Albuquerque Intl,0.0839
166,Stapleton Intl,233,Albuquerque Intl,0.0461
233,Albuquerque Intl,258,Phoenix Sky Harbor Intl,0.0315
182,Lambert-St Louis Intl,233,Albuquerque Intl,0.0901
67,Minneapolis-St Paul Intl/Wold-,233,Albuquerque Intl,0.1163
219,Mc Carran Intl,233,Albuquerque Intl,0.0446
152,Pittsburgh Intll,233,Albuquerque Intl,0.1441
233,Albuquerque Intl,293,Houston Intercontinental,0.075
144,Salt Lake City Intl,233,Albuquerque Intl,0.0613
233,Albuquerque Intl,263,San Diego Intl-Lindbergh Fld,0.0581
176,Cincinnati/Northern Kentucky I,233,Albuquerque Intl,0.1182
233,Albuquerque Intl,296,William P Hobby,0.0773
233,Albuquerque Intl,262,Dallas Love Field,0.0539
233,Albuquerque Intl,276,El Paso Intl,0.0309
233,Albuquerque Intl,274,Tucson Intl,0.0355
233,Albuquerque Intl,254,Lubbock Intl,0.0277
233,Albuquerque Intl,275,Midland Intll,0.0372
229,Amarillo Intl,233,Albuquerque Intl,0.0251
142,Elko Muni-J.C. Harris Field,233,Albuquerque Intl,0.0724
118,Chicago O'hare Intl,119,Bradley Intl,0.0775
119,Bradley Intl,261,Dallas/Fort Worth Intl,0.1511
119,Bradley Intl,150,John F Kennedy Intl,0.0136
119,Bradley Intl,311,Miami Intl,0.159
109,General Edward Lawrence Logan,119,Bradley Intl,0.0095
119,Bradley Intl,147,Newark Intl,0.0141
112,Detroit Metropolitan Wayne Cou,119,Bradley Intl,0.0544
119,Bradley Intl,182,Lambert-St Louis Intl,0.095
67,Minneapolis-St Paul Intl/Wold-,119,Bradley Intl,0.1082
119,Bradley Intl,299,Orlando Intl,0.1363
119,Bradley Intl,152,Pittsburgh Intll,0.0408
119,Bradley Intl,162,Philadelphia Intl,0.0236
119,Bradley Intl,230,Charlotte/Douglas Intl,0.0768
119,Bradley Intl,179,Washington National,0.0368
119,Bradley Intl,301,Tampa Intl,0.1425
119,Bradley Intl,174,Baltimore-Washington Intl,0.0333
119,Bradley Intl,177,Washington Dulles Intl,0.0375
119,Bradley Intl,221,Raleigh-Durham Intll,0.0657
119,Bradley Intl,176,Cincinnati/Northern Kentucky I,0.067
119,Bradley Intl,310,Fort Lauderdale/Hollywood Intl,0.1563
119,Bradley Intl,131,Cleveland-Hopkins Intl,0.047
119,Bradley Intl,321,Luis Munoz Marin Intl,0.2271
119,Bradley Intl,217,Nashville Intll,0.0904
119,Bradley Intl,306,Palm Beach Intl,0.1505
95,Greater Buffalo Intl,119,Bradley Intl,0.0323
92,Syracuse Hancock Intl,119,Bradley Intl,0.0207
91,Greater Rochester Intl,119,Bradley Intl,0.0278
